Edition,Gender,Discipline,Medal_Bronze,Medal_Gold,Medal_Silver
1896,Men,Artistic G.,7,28,10
1896,Men,Athletics,12,12,13
1896,Men,Cycling Road,1,1,1
1896,Men,Cycling Track,3,5,5
1896,Men,Fencing,2,3,3
1896,Men,Shooting,5,5,5
1896,Men,Swimming,3,4,4
1896,Men,Tennis,4,3,3
1896,Men,Weightlifting,2,2,2
1896,Men,Wrestling Gre-R,1,1,1
1900,Men,Archery,5,6,7
1900,Men,Artistic G.,1,1,1
1900,Men,Athletics,22,27,27
1900,Men,Basque Pelota,0,2,2
1900,Men,Cricket,0,12,12
1900,Men,Croquet,2,4,2
1900,Men,Cycling Track,2,2,2
1900,Men,Fencing,7,7,7
1900,Men,Football,11,11,13
1900,Men,Golf,1,1,1
1900,Men,Jumping,3,4,2
1900,Men,Polo,4,4,4
1900,Men,Rowing,23,23,22
1900,Men,Rugby,0,17,30
1900,Men,Sailing,6,9,11
1900,Men,Shooting,17,17,18
1900,Men,Swimming,11,11,11
1900,Men,Tennis,8,4,4
1900,Men,Tug of War,0,6,6
1900,Men,Water polo,14,7,7
1900,Women,Golf,1,1,1
1900,Women,Tennis,4,2,2
1904,Men,Archery,6,6,6
1904,Men,Artistic G.,16,18,14
1904,Men,Athletics,24,29,29
1904,Men,Boxing,5,7,7
1904,Men,Cycling Track,7,7,7
1904,Men,Diving,3,2,2
1904,Men,Fencing,4,7,7
1904,Men,Football,12,34,11
1904,Men,Golf,2,11,11
1904,Men,Lacrosse,0,13,13
1904,Men,Roque,1,1,1
1904,Men,Rowing,9,18,18
1904,Men,Swimming,12,12,12
1904,Men,Tennis,6,3,3
1904,Men,Tug of War,5,5,5
1904,Men,Weightlifting,2,2,2
1904,Men,Wrestling Free.,7,7,7
1904,Women,Archery,2,6,4
1908,Men,Archery,2,2,2
1908,Men,Artistic G.,26,60,33
1908,Men,Athletics,30,32,32
1908,Men,Boxing,5,5,5
1908,Men,Cycling Track,10,10,10
1908,Men,Diving,3,2,2
1908,Men,Fencing,11,10,10
1908,Men,Figure skating,3,3,3
1908,Men,Football,11,11,11
1908,Men,Hockey,0,11,11
1908,Men,Jeu de Paume,1,1,1
1908,Men,Lacrosse,0,15,18
1908,Men,Polo,0,4,8
1908,Men,Rackets,4,3,3
1908,Men,Rowing,24,16,16
1908,Men,Rugby,0,15,15
1908,Men,Sailing,8,22,18
1908,Men,Shooting,35,39,39
1908,Men,Swimming,9,9,9
1908,Men,Tennis,6,6,6
1908,Men,Tug of War,9,9,9
1908,Men,Water Motorspor,0,5,0
1908,Men,Water polo,0,7,7
1908,Men,Wrestling Free.,5,5,5
1908,Men,Wrestling Gre-R,4,4,4
1908,Women,Archery,1,1,1
1908,Women,Figure skating,2,2,2
1908,Women,Tennis,2,2,2
1912,Men,Artistic G.,68,66,66
1912,Men,Athletics,40,44,43
1912,Men,Cycling Road,5,5,5
1912,Men,Diving,3,3,3
1912,Men,Dressage,1,1,1
1912,Men,Eventing,5,5,5
1912,Men,Fencing,14,19,18
1912,Men,Football,11,11,11
1912,Men,Jumping,5,5,5
1912,Men,Modern Pentath.,1,1,1
1912,Men,Rowing,21,20,20
1912,Men,Sailing,22,26,25
1912,Men,Shooting,48,48,48
1912,Men,Swimming,10,10,10
1912,Men,Tennis,8,8,8
1912,Men,Tug of War,0,8,8
1912,Men,Water polo,7,7,7
1912,Men,Wrestling Gre-R,5,4,6
1912,Women,Diving,1,1,1
1912,Women,Swimming,5,5,5
1912,Women,Tennis,4,4,4
